pSymbol,pExchSeg,pSymbolName,pTrdSymbol,pOptionType,lLotSize
"107170","nse_fo","IREDA","IREDA26JUL146PE","PE","4525"
"107176","nse_fo","IREDA","IREDA26JUL150PE","PE","4525"
"107206","nse_fo","IREDA","IREDA26JUL176PE","PE","4525"
"107209","nse_fo","IREDA","IREDA26JUL184CE","CE","4525"
"107229","nse_fo","IRFC","IRFC26JUN83CE","CE","4250"
"107233","nse_fo","IRFC","IRFC26JUN87CE","CE","4250"
"107234","nse_fo","IRFC","IRFC26JUN87PE","PE","4250"
"107267","nse_fo","HDFCAMC","HDFCAMC26MAY1920CE","CE","300"
"107268","nse_fo","HDFCAMC","HDFCAMC26MAY1920PE","PE","300"
"107275","nse_fo","HDFCAMC","HDFCAMC26MAY2080CE","CE","300"
"107298","nse_fo","HDFCAMC","HDFCAMC26MAY2520PE","PE","300"
"107300","nse_fo","HDFCAMC","HDFCAMC26MAY2560PE","PE","300"
"107305","nse_fo","HDFCAMC","HDFCAMC26MAY2680CE","CE","300"
"107312","nse_fo","HDFCAMC","HDFCAMC26MAY2800PE","PE","300"
"107319","nse_fo","HDFCAMC","HDFCAMC26MAY2960CE","CE","300"
"107320","nse_fo","HDFCAMC","HDFCAMC26MAY2960PE","PE","300"
"107343","nse_fo","IRFC","IRFC26JUN101CE","CE","4250"
"107354","nse_fo","DMART","DMART26MAY3650PE","PE","150"
"107358","nse_fo","IRFC","IRFC26JUN105CE","CE","4250"
"107367","nse_fo","IRFC","IRFC26JUN109PE","PE","4250"
"107368","nse_fo","IRFC","IRFC26JUN111CE","CE","4250"
"107378","nse_fo","IRFC","IRFC26JUN119CE","CE","4250"
"107399","nse_fo","IRFC","IRFC26JUN133CE","CE","4250"
"107413","nse_fo","DMART","DMART26MAY4250PE","PE","150"
"107420","nse_fo","DMART","DMART26MAY4650CE","CE","150"
"107445","nse_fo","DMART","DMART26JUN2800PE","PE","150"
"107448","nse_fo","IRFC","IRFC26JUL56CE","CE","5425"
"107468","nse_fo","IRFC","IRFC26JUL60PE","PE","5425"
"107520","nse_fo","DMART","DMART26JUN4500CE","CE","150"
"107525","nse_fo","DMART","DMART26JUN4700PE","PE","150"
"107533","nse_fo","IRFC","IRFC26JUL82CE","CE","5425"
"107546","nse_fo","DMART","DMART26JUN5000CE","CE","150"
"107549","nse_fo","DMART","DMART26JUN5100PE","PE","150"
"107551","nse_fo","DMART","DMART26JUN5200PE","PE","150"
"107557","nse_fo","DMART","DMART26JUN5600CE","CE","150"
"107561","nse_fo","DMART","DMART26JUN5600PE","PE","150"
"107570","nse_fo","DRREDDY","DRREDDY26MAY740CE","CE","625"
"107617","nse_fo","IRFC","IRFC26JUL102CE","CE","5425"
"107641","nse_fo","IRFC","IRFC26JUL124CE","CE","5425"
"107644","nse_fo","DRREDDY","DRREDDY26MAY990CE","CE","625"
"107662","nse_fo","HDFCBANK","HDFCBANK26MAY680PE","PE","550"
"107677","nse_fo","IRFC","IRFC26JUL130CE","CE","5425"
"107681","nse_fo","DRREDDY","DRREDDY26MAY1130CE","CE","625"
"107683","nse_fo","DRREDDY","DRREDDY26MAY1150CE","CE","625"
"107684","nse_fo","DRREDDY","DRREDDY26MAY1150PE","PE","625"
"107689","nse_fo","DRREDDY","DRREDDY26MAY1210CE","CE","625"
"107695","nse_fo","HDFCBANK","HDFCBANK26MAY750PE","PE","550"
"107701","nse_fo","HDFCBANK","HDFCBANK26MAY780PE","PE","550"
"107708","nse_fo","HDFCBANK","HDFCBANK26MAY820CE","CE","550"
"107712","nse_fo","HDFCBANK","HDFCBANK26MAY840CE","CE","550"
